n_qubits,window,mean_mae,std_mae,mean_rmse,std_rmse,mean_wape,std_wape,mean_smape,std_smape,rank_mean_mae,rank_mean_rmse,rank_mean_wape,rank_mean_smape,avg_rank
14,7,436.81856151776645,7.939337186165752,522.1605703012893,14.802090199556991,0.20171097396421253,0.00366617075723016,0.22652428855079196,0.0034577949620472324,1.0,1.0,1.0,1.0,1.0
12,9,445.06116372134375,14.795487900085616,524.708599977158,9.512765951995013,0.20551718428802798,0.006832155355835551,0.23059435319820962,0.00828286727369077,2.0,2.0,2.0,2.0,2.0
12,3,447.16795635963626,22.781329305786375,540.5720067326141,27.93261369875986,0.2064900440344958,0.010519800501386739,0.23193365121643514,0.0134098095228986,3.0,5.0,3.0,3.0,3.5
5,5,451.2770634099684,19.253368920512695,536.0440598040462,13.522934649203826,0.2083875183138986,0.008890684002884255,0.2335674462285735,0.009134661779875285,4.0,3.0,4.0,4.0,3.75
7,9,458.7249619269421,20.433603434812017,538.5790248326131,23.185009709231263,0.21182675601164072,0.009435684317335869,0.23796856002525021,0.010796453462185697,5.0,4.0,5.0,5.0,4.75
6,5,462.84761170284224,14.95370181975743,541.7182034152698,22.80847830167734,0.2137304839547042,0.006905214256356649,0.2394980462478551,0.007555481302065032,6.0,6.0,6.0,6.0,6.0
16,7,465.7640967181008,35.20079791595383,552.4515435782073,42.24542246019344,0.2150772376982626,0.016254774539052354,0.2425407617598303,0.019065666213176437,7.0,7.0,7.0,8.0,7.25
6,3,467.8466527655858,24.922561003250944,556.9562607334638,39.28717825153574,0.21603890564390502,0.011508563272084731,0.24044905964108543,0.01405780756666298,8.0,8.0,8.0,7.0,7.75
