n_qubits,window,mean_mae,mean_rmse,mean_wape,mean_smape,std_mae,std_rmse,std_wape,std_smape,rank_mean_mae,rank_mean_rmse,rank_mean_wape,rank_mean_smape,avg_rank,objective_score,objective_metric_score,objective_complexity_penalty,objective_complexity_norm
8,5,447.9469031444376,520.9134984039423,0.2068497405503275,0.231266522284697,28.289481416343804,23.94537952213689,0.0130633158756032,0.0131906417412601,5.0,1.0,5.0,3.0,3.5,2.0030283464272673,1.976672710290066,1.0133333333333334,0.26666666666666666
14,7,436.81856151776645,522.1605703012893,0.2017109739642125,0.2265242885507919,7.939337186165752,14.802090199556991,0.0036661707572301,0.0034577949620472,1.0,2.0,1.0,1.0,1.25,2.005268043711656,1.945288320496352,1.0308333333333333,0.6166666666666667
5,7,445.9204214630224,530.7522486477974,0.2059139662273257,0.2312842546504198,25.638356993777332,29.1761619441942,0.0118390984625012,0.0128135932924105,3.0,4.0,3.0,4.0,3.5,2.0072939717692564,1.9833287493809038,1.0120833333333334,0.24166666666666667
12,3,447.16795635963626,540.5720067326141,0.2064900440344958,0.2319336512164351,22.781329305786375,27.93261369875986,0.0105198005013867,0.0134098095228986,4.0,5.0,4.0,5.0,4.5,2.031477425246432,1.9981745166358351,1.0166666666666666,0.3333333333333333
12,9,445.06116372134375,524.708599977158,0.2055171842880279,0.2305943531982096,14.795487900085616,9.512765951995013,0.0068321553558355,0.0082828672736907,2.0,3.0,2.0,2.0,2.25,2.035934006123179,1.9734416860644706,1.0316666666666667,0.6333333333333333
6,3,467.8466527655858,556.9562607334638,0.216038905643905,0.2404490596410854,24.922561003250944,39.28717825153574,0.0115085632720847,0.0140578075666629,8.0,8.0,8.0,6.0,7.5,2.085824516225896,2.077169642714585,1.0041666666666667,0.08333333333333333
16,5,464.76334839535394,554.1381364040731,0.2146151192430098,0.2408964623446422,16.718668040554295,30.34255517898291,0.0077202278266908,0.0080040136654431,6.0,7.0,6.0,7.0,6.5,2.1299721108388803,2.0679340881930877,1.03,0.6
16,7,465.7640967181008,552.4515435782073,0.2150772376982626,0.2425407617598303,35.20079791595383,42.24542246019344,0.0162547745390523,0.0190656662131764,7.0,6.0,7.0,8.0,7.0,2.1435707317208736,2.0710828325805544,1.035,0.7
