config,n_seeds,mae_mean,mae_std,mae_median,mae_min,mae_max,rmse_mean,rmse_std,wape_mean,wape_std,smape_mean,smape_std
"RC default (sr=0.60, leak=0.15)",10,565.3367061848392,504.0071670407654,408.9901917955651,275.0636282291289,1966.124323337456,686.5632288136849,570.8073581651905,0.26105717034102194,0.23273685118941867,0.25573744107223106,0.15052342821859432
"RC mais contido (sr=0.20, leak=0.15)",10,477.9821644552044,285.4628377523576,376.71156810868354,275.28009589781044,1236.2133616322633,604.8754326367978,373.5028337669666,0.22071921027069333,0.13181900245618128,0.22690129346918378,0.10157162643162763
"RC mais contido e mais rapido (sr=0.20, leak=0.30)",10,453.5036698232928,230.67562307167537,375.97793148925876,283.77595754821056,1056.812054856707,576.5545889417293,325.8661818773276,0.20941570481473337,0.10651975144535321,0.21850831089105344,0.08173890907703923
