model,mae,rmse,wape,smape
ETS,216.30277126607479,307.637516124997,0.09988275798454975,0.10421723510745443
Seasonal Naive,259.06666666666666,352.2796868651069,0.1196299659827297,0.13614248003370097
RC,324.2944321758988,423.41662100576525,0.14975038042817068,0.1652865444138166
