n_qubits,window,mean_mae,mean_rmse,mean_wape,mean_smape,std_mae,std_rmse,std_wape,std_smape,rank_mean_mae,rank_mean_rmse,rank_mean_wape,rank_mean_smape,avg_rank
14,7,436.81856151776645,522.1605703012893,0.20171097396421253,0.22652428855079196,7.939337186165752,14.802090199556991,0.00366617075723016,0.0034577949620472324,1.0,2.0,1.0,1.0,1.25
12,9,445.06116372134375,524.708599977158,0.20551718428802798,0.23059435319820962,14.795487900085616,9.512765951995013,0.006832155355835551,0.00828286727369077,2.0,3.0,2.0,2.0,2.25
5,7,445.92042146302236,530.7522486477974,0.20591396622732572,0.23128425465041982,25.638356993777332,29.176161944194202,0.01183909846250127,0.012813593292410528,3.0,4.0,3.0,4.0,3.5
8,5,447.9469031444376,520.9134984039423,0.20684974055032754,0.23126652228469705,28.289481416343804,23.94537952213689,0.013063315875603207,0.013190641741260124,5.0,1.0,5.0,3.0,3.5
12,3,447.16795635963626,540.5720067326141,0.2064900440344958,0.23193365121643514,22.781329305786375,27.93261369875986,0.010519800501386739,0.0134098095228986,4.0,5.0,4.0,5.0,4.5
16,5,464.76334839535394,554.1381364040731,0.21461511924300983,0.2408964623446422,16.718668040554295,30.34255517898291,0.007720227826690899,0.008004013665443153,6.0,7.0,6.0,7.0,6.5
16,7,465.7640967181008,552.4515435782073,0.2150772376982626,0.2425407617598303,35.20079791595383,42.24542246019344,0.016254774539052354,0.019065666213176437,7.0,6.0,7.0,8.0,7.0
6,3,467.8466527655858,556.9562607334638,0.21603890564390502,0.24044905964108543,24.922561003250944,39.28717825153574,0.011508563272084731,0.01405780756666298,8.0,8.0,8.0,6.0,7.5
