washout,mae,rmse,wape,smape
0,325.7175498490066,411.31948287541024,0.1504075376032478,0.16513555288578438
7,317.56689733761567,402.2678464350313,0.1466437871554554,0.1613468887391858
14,324.2944321758988,423.41662100576525,0.14975038042817068,0.1652865444138166
21,327.74415019905166,434.7857780451195,0.15134336672420692,0.16773667396521108
28,334.8476275724897,446.06590924038704,0.15462356007164701,0.172225168666464
42,330.5107951960582,439.7181407929983,0.15262092840798785,0.16949358261608377
