parameter,value,mae,rmse,wape,smape
leak_rate,0.05,388.1795585529044,491.50352166492644,0.1792508005077521,0.19824930980205402
leak_rate,0.1,357.6754131364201,474.4612784838856,0.16516481281408413,0.18224651358848465
leak_rate,0.15,324.2944321758988,423.41662100576525,0.14975038042817068,0.1652865444138166
leak_rate,0.3,317.767452201146,419.9465214528917,0.1467363979564145,0.16210070191286707
leak_rate,0.5,770.6797744540519,1035.5436076112987,0.35587903448861047,0.570214674717271
